text,clean,label,sentiment,vader_compound,vader_pos,vader_neg,vader_pred
"This movie is to Halloween what the hilarious ""Christmas Story"" is to Christmas: both are relatively low-budget, no-big-name-stars type films...and both are two of the absolute greatest and funniest movies available, both seasonal CLASSICS!!! ""Spaced Invaders"" comes galloping out right from the start with warmth and humor and a superb cast of characters...all five goofy Martians, Klembecker the Realtor, Russell the deputy, Vern at the ""fuel dispensing depot"" and so many more! You just have to see this movie to believe it, and, like ""Christmas Story"", it just keeps getting better and better with each viewing, and you pick up on fun little things each time!! MOST DEFINITELY A TEN!!!",this movie is to halloween what the hilarious christmas story is to christmas both are relatively low budget no big name stars type films and both are two of the absolute greatest and funniest movies available both seasonal classics spaced invaders comes galloping out right from the start with warmth and humor and a superb cast of characters all five goofy martians klembecker the realtor russell the deputy vern at the fuel dispensing depot and so many more you just have to see this movie to believe it and like christmas story it just keeps getting better and better with each viewing and you pick up on fun little things each time most definitely a ten,1,positive,0.989,0.276,0.0,positive
"Good western filmed in the rocky Arizona wilds. Lots of tough guys throughout; Cobern's character seemed to rock back and forth between a raging psycho and a laid back type. Several holes appeared in the picture, but not enough to offset it being exciting and worth seeing. One really dumb scene shows Heston emptying .45 cases of their powder and collecting it in a sack for the purpose of starting a fire. A. To gather that much gunpowder he would have needed a pack mule to carry the ammo. B. The grass was obviously dry: why not just drop a match on it and let 'er rip?",good western filmed in the rocky arizona wilds lots of tough guys throughout cobern s character seemed to rock back and forth between a raging psycho and a laid back type several holes appeared in the picture but not enough to offset it being exciting and worth seeing one really dumb scene shows heston emptying cases of their powder and collecting it in a sack for the purpose of starting a fire a to gather that much gunpowder he would have needed a pack mule to carry the ammo b the grass was obviously dry why not just drop a match on it and let er rip,1,positive,-0.365,0.093,0.115,negative
"John Singleton's finest film, before blockbuster wannabees like the Shaft remake, this is a thought-provoking movie with overall great acting and superb balance between the stories 3 main characters, each with identifiable youngster problems.<br /><br />What I liked about it most is that it also covers the problem of selfpity among young blacks, a problem mostly ignored by the media and other films who mostly focus on social-economical problems and racism by whites. This movie shows that blacks can be equally ignorant and racist.<br /><br />The masterful thing about this film is that it deals with so many topics without getting shallow. It's not just about racism, but about how hard it can be to adopt to a new world (college), date rape, discovering sexuality and isolation. Omar Epps, Michael Rapaport and Kristy Swanson each deliver fine performances, and the supporting cast is equally interesting with Jennifer Connelly as a lez (yay) and with Ice Cube and Busta Rhymes as college bums causing little riots.<br /><br />The only negative is the caricature of a professor by Laurence Fishburne (""Peppermint?""). Surely, plenty of professors are nutty. But they're not as flat. The skinheads are also a bit of a caricature, but I guess they are like that too in real life.<br /><br />Overall a great underrated piece of filmwork, if you liked American History X you'll love this one.<br /><br />8,5 out of 10",john singleton s finest film before blockbuster wannabees like the shaft remake this is a thought provoking movie with overall great acting and superb balance between the stories main characters each with identifiable youngster problems what i liked about it most is that it also covers the problem of selfpity among young blacks a problem mostly ignored by the media and other films who mostly focus on social economical problems and racism by whites this movie shows that blacks can be equally ignorant and racist the masterful thing about this film is that it deals with so many topics without getting shallow it s not just about racism but about how hard it can be to adopt to a new world college date rape discovering sexuality and isolation omar epps michael rapaport and kristy swanson each deliver fine performances and the supporting cast is equally interesting with jennifer connelly as a lez yay and with ice cube and busta rhymes as college bums causing little riots the only negative is the caricature of a professor by laurence fishburne peppermint surely plenty of professors are nutty but they re not as flat the skinheads are also a bit of a caricature but i guess they are like that too in real life overall a great underrated piece of filmwork if you liked american history x you ll love this one out of,1,positive,0.9477,0.166,0.113,positive
"This was a wonderfully clever and entertaining movie that I shall never tire of watching many, many times. The casting was magnificent in matching up the young with the older characters. There are those of us out here who really do appreciate good actors and an intelligent story format. As for Judi Dench, she is beautiful and a gift to any kind of production in which she stars. I always make a point to see Judi Dench in all her performances. She is a superb actress and a pleasure to watch as each transformation of her character comes to life. I can only be grateful when I see such an outstanding picture for most of the motion pictures made more recently lack good characters, good scripts and good acting. The movie public needs heroes, not deviant manikins, who lack ingenuity and talent. How wonderful to see old favorites like Leslie Caron, Olympia Dukakis and Cleo Laine. I would like to see this movie win the awards it deserves. Thank you again for a tremendous night of entertainment. I congratulate the writer, director, producer, and all those who did such a fine job.",this was a wonderfully clever and entertaining movie that i shall never tire of watching many many times the casting was magnificent in matching up the young with the older characters there are those of us out here who really do appreciate good actors and an intelligent story format as for judi dench she is beautiful and a gift to any kind of production in which she stars i always make a point to see judi dench in all her performances she is a superb actress and a pleasure to watch as each transformation of her character comes to life i can only be grateful when i see such an outstanding picture for most of the motion pictures made more recently lack good characters good scripts and good acting the movie public needs heroes not deviant manikins who lack ingenuity and talent how wonderful to see old favorites like leslie caron olympia dukakis and cleo laine i would like to see this movie win the awards it deserves thank you again for a tremendous night of entertainment i congratulate the writer director producer and all those who did such a fine job,1,positive,0.9977,0.365,0.021,positive
"I have not read the other comments on the film, but judging from the average rating I can see that they are unlikely to be very complementary.<br /><br />I watched it for the second time with my children. They absolutely loved it. True, it did not have the adults rolling around the floor, but the sound of the children's enjoyment made it seem so.<br /><br />It is a true Mel Brooks farce, with plenty of moral content - how sad it is to be loved for our money, not for whom we are, and how fickle are our friends and associates. There are many other films on a similar subject matter, no doubt, many of which will have a greater comic or emotional impact on adults. It's hard for me to imagine such an impact on the junior members of the family, however.<br /><br />Hence, for the children, a 9/10 from me.",i have not read the other comments on the film but judging from the average rating i can see that they are unlikely to be very complementary i watched it for the second time with my children they absolutely loved it true it did not have the adults rolling around the floor but the sound of the children s enjoyment made it seem so it is a true mel brooks farce with plenty of moral content how sad it is to be loved for our money not for whom we are and how fickle are our friends and associates there are many other films on a similar subject matter no doubt many of which will have a greater comic or emotional impact on adults it s hard for me to imagine such an impact on the junior members of the family however hence for the children a from me,1,positive,0.9697,0.192,0.085,positive
A good picture is worth all the words. This film has the most poetic scene ever dreamed of about people with Down's syndrome. And I won't spoil it by telling you. You'll want to see it yourself.<br /><br />Pasqual Duquenne is an amazing actor. I did not need to understand a single word he said to understand his meaning.<br /><br />The film has a magic of it's own. After watching it I understood better that we put too much value on achievement and not enough on the people we love. Passion and simplicity is all we need.,a good picture is worth all the words this film has the most poetic scene ever dreamed of about people with down s syndrome and i won t spoil it by telling you you ll want to see it yourself pasqual duquenne is an amazing actor i did not need to understand a single word he said to understand his meaning the film has a magic of it s own after watching it i understood better that we put too much value on achievement and not enough on the people we love passion and simplicity is all we need,1,positive,0.9657,0.213,0.0,positive
"Tiempo de Valientes fits snugly into the buddy action movie genre, but transcends its roots thanks to excellent casting, tremendous rapport between its leads, and outstanding photography. Diego Peretti stars as Dr. Silverstein, a shrink assigned to ride shotgun with detective Diaz (Luis Luque), who's been assigned to investigate the murder of two minor hoods who seem to have been involved in am arms smuggling conspiracy. Diaz has been suspended from duty, but he's the best man for the job and must have professional psychiatric help in order to be reinstated. Silverstein and Diaz soon find themselves enmeshed in a conspiracy involving Argentina's intelligence community and some uranium, and the film separates them at a crucial point that allows Silverstein to develop some impressive sleuthing skills of his own. Peretti and Luque are excellent together and remind me of screen team Terence Hill and Bud Spencer, though Peretti isn't as classically handsome as Hill. Remarkably, even at almost two hours in length Tiempo de Valientes doesn't wear out its welcome, and indeed writer-director Damian Szifron sets up a potential sequel in the film's charming coda. All in all, a wonderful and very entertaining action comedy that neither panders to the lowest common denominator nor insults your intelligence.",tiempo de valientes fits snugly into the buddy action movie genre but transcends its roots thanks to excellent casting tremendous rapport between its leads and outstanding photography diego peretti stars as dr silverstein a shrink assigned to ride shotgun with detective diaz luis luque who s been assigned to investigate the murder of two minor hoods who seem to have been involved in am arms smuggling conspiracy diaz has been suspended from duty but he s the best man for the job and must have professional psychiatric help in order to be reinstated silverstein and diaz soon find themselves enmeshed in a conspiracy involving argentina s intelligence community and some uranium and the film separates them at a crucial point that allows silverstein to develop some impressive sleuthing skills of his own peretti and luque are excellent together and remind me of screen team terence hill and bud spencer though peretti isn t as classically handsome as hill remarkably even at almost two hours in length tiempo de valientes doesn t wear out its welcome and indeed writer director damian szifron sets up a potential sequel in the film s charming coda all in all a wonderful and very entertaining action comedy that neither panders to the lowest common denominator nor insults your intelligence,1,positive,0.9905,0.24,0.111,positive
"And I'll tell you why: whoever decided to edit this movie to make it suitable for television was very ill-advised. EVERYTHING CONCERNING DRUGS IS CUT OUT AND COVERED UP!!! How do they do it, you might ask? Well, they don't do it very well, that's for sure. Anyway, instead of the marijuana which Cheech and Chong are supposed to have in their possession, they are said to have diamonds! Still, the characters go around in a haze of marijuana smoke stoning others along their way with no explanation whatsoever!",and i ll tell you why whoever decided to edit this movie to make it suitable for television was very ill advised everything concerning drugs is cut out and covered up how do they do it you might ask well they don t do it very well that s for sure anyway instead of the marijuana which cheech and chong are supposed to have in their possession they are said to have diamonds still the characters go around in a haze of marijuana smoke stoning others along their way with no explanation whatsoever,1,positive,0.4456,0.083,0.052,positive
"Saw this in the theater in '86 and fell out of my chair laughing more than once. ""Beirut""...""What do you know about Beirut?""...""Beirut...he's the best damn baseball that ever lived.""<br /><br />You know how it's going to end but it has a great time getting there. The training scenes are very funny but the best scene may be the one when Jack and Reno are attempting to watch the Falcons v. Vikings Monday Night Football game while attempting a make-up dinner with their wives.<br /><br />Williams and Russell seem to have a lot of fun with this one and it's too bad that it's overlooked as a top notch comedy.",saw this in the theater in and fell out of my chair laughing more than once beirut what do you know about beirut beirut he s the best damn baseball that ever lived you know how it s going to end but it has a great time getting there the training scenes are very funny but the best scene may be the one when jack and reno are attempting to watch the falcons v vikings monday night football game while attempting a make up dinner with their wives williams and russell seem to have a lot of fun with this one and it s too bad that it s overlooked as a top notch comedy,1,positive,0.9744,0.227,0.071,positive
"after just having watched The Deer Hunter,which is a masterpiece,the movie Jacknife had big shoes to fill.it has same themes as The Deer Hunter,the devastating effects on a person after the Vietnam War.Robert De Niro is in this film,as in The Deer Hunter and is very good here,as is Kathy Baker.but this movie belongs to Ed Harris,who gives a powerful,emotional and impactful performance.the movie is based on a stage play,and there are one or two scenes where that felt obvious to me.by that i just mean that for those one or two scenes it felt like i was watching a stage play.that was not that big a deal,and doesn't really diminish the film.i actually really liked this movie.it's not an epic like The Deer Hunter.they are about similar era and have similar themes,but they are two very different films.i thought The Deer Hunter was great,and i also think this movie was great.it's the acting in this one that makes it so great.for me,Jacknife is a 10/10",after just having watched the deer hunter which is a masterpiece the movie jacknife had big shoes to fill it has same themes as the deer hunter the devastating effects on a person after the vietnam war robert de niro is in this film as in the deer hunter and is very good here as is kathy baker but this movie belongs to ed harris who gives a powerful emotional and impactful performance the movie is based on a stage play and there are one or two scenes where that felt obvious to me by that i just mean that for those one or two scenes it felt like i was watching a stage play that was not that big a deal and doesn t really diminish the film i actually really liked this movie it s not an epic like the deer hunter they are about similar era and have similar themes but they are two very different films i thought the deer hunter was great and i also think this movie was great it s the acting in this one that makes it so great for me jacknife is a,1,positive,0.7172,0.068,0.026,positive
